Shift Register Count,Pin,Row/column,Row/Column,Flip,,,
10,30,1,Column,Off,,,
12,29,2,Column,Off,,,
13,28,3,Column,Off,,,
14,27,4,Column,Off,,,
15,26,5,Column,Off,,,
8,1,6,Column,Off,,,
1,2,7,Column,Off,,,
2,4,8,Column,Off,,,
3,6,9,Column,Off,,,
9,33,10,Column,Off,,,
18,34,11,Column,Off,,,
17,35,12,Column,Off,,,
24,36,13,Column,Off,,,
31,37,14,Column,Off,,,
30,38,15,Column,Off,,,
29,39,16,Column,Off,,,
28,40,17,Column,Off,,,
27,41,18,Column,Off,,,
26,42,19,Column,Off,,,
25,43,20,Column,Off,,,
4,19,21,Column,Off,,,
5,21,22,Column,Off,,,
6,23,23,Column,Off,,,
7,24,24,Column,Off,,,
0,25,25,Column,Off,,,
36,50,26,Column,Off,,,
37,49,27,Column,Off,,,
38,48,28,Column,Off,,,
39,47,29,Column,Off,,,
32,46,30,Column,Off,,,
11,3,1,Row,Off,,,
19,17,2,Row,Off,,,
16,7,3,Row,Off,,,
20,15,4,Row,Off,,,
23,9,5,Row,Off,,,
21,13,6,Row,Off,,,
22,11,7,Row,Off,,,
54,30,1,Column,On,,,
52,29,2,Column,On,,,
51,28,3,Column,On,,,
50,27,4,Column,On,,,
49,26,5,Column,On,,,
48,1,6,Column,On,,,
47,2,7,Column,On,,,
46,4,8,Column,On,,,
45,6,9,Column,On,,,
55,33,10,Column,On,,,
62,34,11,Column,On,,,
63,35,12,Column,On,,,
64,36,13,Column,On,,,
65,37,14,Column,On,,,
66,38,15,Column,On,,,
67,39,16,Column,On,,,
68,40,17,Column,On,,,
69,41,18,Column,On,,,
70,42,19,Column,On,,,
71,43,20,Column,On,,,
44,19,21,Column,On,,,
43,21,22,Column,On,,,
42,23,23,Column,On,,,
41,24,24,Column,On,,,
40,25,25,Column,On,,,
76,50,26,Column,On,,,
75,49,27,Column,On,,,
74,48,28,Column,On,,,
73,47,29,Column,On,,,
72,46,30,Column,On,,,
53,5,1,Row,On,,,
61,18,2,Row,On,,,
56,8,3,Row,On,,,
60,16,4,Row,On,,,
57,10,5,Row,On,,,
59,14,6,Row,On,,,
58,12,7,Row,On,,,
